id,method,layout,inflow,intersection,outflow_type_1,outflow_type_2,outflow_type_3,outflow_others,outflow_all,phase_type_1,phase_type_2,phase_type_3,phase_others,phase_all,outflow_rate_type_1,outflow_rate_type_2,outflow_rate_type_3,outflow_rate_others,outflow_rate_all
30,4-Phase DRL,7-4-1,unbalanced,2,202.0,117.0,,,319.0,0.09444444444444444,0.045,0.0,0.0,0.13944444444444445,0.5941176470588235,0.7222222222222222,,,0.6354581673306773
31,4-Phase DRL,7-4-1,unbalanced,3,246.0,72.0,,,318.0,0.10833333333333334,0.03111111111111111,0.0,0.0,0.13944444444444445,0.6307692307692307,0.6428571428571429,,,0.6334661354581673
32,4-Phase DRL,7-4-1,unbalanced,4,115.0,211.0,,,326.0,0.05333333333333334,0.08611111111111111,0.0,0.0,0.13944444444444445,0.5989583333333334,0.6806451612903226,,,0.649402390438247
33,4-Phase DRL,7-4-1,unbalanced,5,188.0,162.0,,,350.0,0.07777777777777778,0.06166666666666667,0.0,0.0,0.13944444444444445,0.6714285714285714,0.7297297297297297,,,0.6972111553784861
34,4-Phase DRL,7-4-1,unbalanced,6,114.0,251.0,,,365.0,0.050555555555555555,0.08888888888888889,0.0,0.0,0.13944444444444445,0.6263736263736264,0.784375,,,0.7270916334661355
35,4-Phase DRL,7-4-1,unbalanced,7,243.0,64.0,,,307.0,0.11166666666666666,0.027777777777777776,0.0,0.0,0.13944444444444445,0.6044776119402985,0.64,,,0.6115537848605578
36,4-Phase DRL,7-4-1,main-minor,1,219.0,148.0,,,367.0,0.08388888888888889,0.05555555555555555,0.0,0.0,0.13944444444444445,0.7251655629139073,0.74,,,0.7310756972111554
37,4-Phase DRL,7-4-1,main-minor,2,224.0,149.0,,,373.0,0.08666666666666667,0.05277777777777778,0.0,0.0,0.13944444444444445,0.717948717948718,0.7842105263157895,,,0.7430278884462151
38,4-Phase DRL,7-4-1,main-minor,3,258.0,80.0,,,338.0,0.10333333333333333,0.03611111111111111,0.0,0.0,0.13944444444444445,0.6935483870967742,0.6153846153846154,,,0.6733067729083665
39,4-Phase DRL,7-4-1,main-minor,4,125.0,233.0,,,358.0,0.05611111111111111,0.08333333333333333,0.0,0.0,0.13944444444444445,0.6188118811881188,0.7766666666666666,,,0.7131474103585658
40,4-Phase DRL,7-4-1,main-minor,5,191.0,183.0,,,374.0,0.07222222222222222,0.06722222222222222,0.0,0.0,0.13944444444444445,0.7346153846153847,0.756198347107438,,,0.7450199203187251
41,4-Phase DRL,7-4-1,main-minor,6,134.0,226.0,,,360.0,0.058333333333333334,0.0811111111111111,0.0,0.0,0.13944444444444445,0.638095238095238,0.773972602739726,,,0.7171314741035857
42,4-Phase DRL,7-4-1,main-minor,7,247.0,80.0,,,327.0,0.10611111111111111,0.03333333333333333,0.0,0.0,0.13944444444444445,0.6465968586387435,0.6666666666666666,,,0.651394422310757
43,4-Phase DRL,7-4-1-sb,balanced_500,1,148.0,122.0,,,270.0,0.07833333333333334,0.06111111111111111,0.0,0.0,0.13944444444444445,0.524822695035461,0.5545454545454546,,,0.5378486055776892
44,4-Phase DRL,7-4-1-sb,balanced_500,2,142.0,124.0,,,266.0,0.07777777777777778,0.06166666666666667,0.0,0.0,0.13944444444444445,0.5071428571428571,0.5585585585585585,,,0.5298804780876494
45,4-Phase DRL,7-4-1-sb,balanced_500,3,172.0,65.0,,,237.0,0.09722222222222222,0.042222222222222223,0.0,0.0,0.13944444444444445,0.49142857142857144,0.4276315789473684,,,0.4721115537848606
46,4-Phase DRL,7-4-1-sb,balanced_500,4,101.0,152.0,,,253.0,0.058333333333333334,0.0811111111111111,0.0,0.0,0.13944444444444445,0.48095238095238096,0.5205479452054794,,,0.5039840637450199
47,4-Phase DRL,7-4-1-sb,balanced_500,5,146.0,133.0,,,279.0,0.07,0.06944444444444445,0.0,0.0,0.13944444444444445,0.5793650793650794,0.532,,,0.5557768924302788
48,4-Phase DRL,7-4-1-sb,balanced_500,6,77.0,184.0,,,261.0,0.05,0.08944444444444444,0.0,0.0,0.13944444444444445,0.42777777777777776,0.5714285714285714,,,0.5199203187250996
49,4-Phase DRL,7-4-1-sb,balanced_500,7,169.0,59.0,,,228.0,0.10055555555555555,0.03888888888888889,0.0,0.0,0.13944444444444445,0.46685082872928174,0.42142857142857143,,,0.4541832669322709
50,4-Phase DRL,7-4-1-sb,balanced_600,1,173.0,147.0,,,320.0,0.0811111111111111,0.058333333333333334,0.0,0.0,0.13944444444444445,0.5924657534246576,0.7,,,0.6374501992031872
51,4-Phase DRL,7-4-1-sb,balanced_600,2,192.0,131.0,,,323.0,0.08611111111111111,0.05333333333333334,0.0,0.0,0.13944444444444445,0.6193548387096774,0.6822916666666666,,,0.6434262948207171
52,4-Phase DRL,7-4-1-sb,balanced_600,3,223.0,69.0,,,292.0,0.10333333333333333,0.03611111111111111,0.0,0.0,0.13944444444444445,0.5994623655913979,0.5307692307692308,,,0.5816733067729084
53,4-Phase DRL,7-4-1-sb,balanced_600,4,112.0,200.0,,,312.0,0.05555555555555555,0.08388888888888889,0.0,0.0,0.13944444444444445,0.56,0.6622516556291391,,,0.6215139442231076
54,4-Phase DRL,7-4-1-sb,balanced_600,5,161.0,172.0,,,333.0,0.06944444444444445,0.07,0.0,0.0,0.13944444444444445,0.644,0.6825396825396826,,,0.6633466135458167
55,4-Phase DRL,7-4-1-sb,balanced_600,6,104.0,209.0,,,313.0,0.058333333333333334,0.0811111111111111,0.0,0.0,0.13944444444444445,0.49523809523809526,0.7157534246575342,,,0.6235059760956175
56,4-Phase DRL,7-4-1-sb,balanced_600,7,220.0,60.0,,,280.0,0.10611111111111111,0.03333333333333333,0.0,0.0,0.13944444444444445,0.5759162303664922,0.5,,,0.5577689243027888
57,4-Phase DRL,7-4-1-sb,balanced_700,1,194.0,175.0,,,369.0,0.0811111111111111,0.058333333333333334,0.0,0.0,0.13944444444444445,0.6643835616438356,0.8333333333333334,,,0.7350597609561753
58,4-Phase DRL,7-4-1-sb,balanced_700,2,226.0,134.0,,,360.0,0.08944444444444444,0.05,0.0,0.0,0.13944444444444445,0.7018633540372671,0.7444444444444445,,,0.7171314741035857
59,4-Phase DRL,7-4-1-sb,balanced_700,3,253.0,79.0,,,332.0,0.10555555555555556,0.03388888888888889,0.0,0.0,0.13944444444444445,0.6657894736842105,0.6475409836065574,,,0.6613545816733067
60,4-Phase DRL,7-4-1-sb,balanced_700,4,126.0,223.0,,,349.0,0.05555555555555555,0.08388888888888889,0.0,0.0,0.13944444444444445,0.63,0.7384105960264901,,,0.6952191235059761
61,4-Phase DRL,7-4-1-sb,balanced_700,5,189.0,170.0,,,359.0,0.07277777777777777,0.06666666666666667,0.0,0.0,0.13944444444444445,0.7213740458015268,0.7083333333333334,,,0.7151394422310757
62,4-Phase DRL,7-4-1-sb,balanced_700,6,101.0,261.0,,,362.0,0.04777777777777778,0.09166666666666666,0.0,0.0,0.13944444444444445,0.5872093023255814,0.7909090909090909,,,0.7211155378486056
63,4-Phase DRL,7-4-1-sb,balanced_700,7,274.0,56.0,,,330.0,0.11444444444444445,0.025,0.0,0.0,0.13944444444444445,0.6650485436893204,0.6222222222222222,,,0.6573705179282868
64,4-Phase DRL,7-4-1-sb,balanced_800,1,209.0,146.0,,,355.0,0.08944444444444444,0.05,0.0,0.0,0.13944444444444445,0.6490683229813664,0.8111111111111111,,,0.7071713147410359
65,4-Phase DRL,7-4-1-sb,balanced_800,2,265.0,132.0,,,397.0,0.09722222222222222,0.042222222222222223,0.0,0.0,0.13944444444444445,0.7571428571428571,0.868421052631579,,,0.7908366533864541
