id,method,layout,inflow,intersection,queue_avg,queue_max,delay_avg,delay_max,speed_avg,num_phase_changes,reward
70,4-Phase DRL,7-4-1,balanced_700,7,17.19607142857143,39.78349206349206,11.56903409090909,52.31460227272728,24.50551587301587,42,105.22
71,Proposed DRL,7-4-1,balanced_700,1,20.114126984126987,36.51666666666667,16.872355555555558,53.5732,22.424801587301584,48,92.50999999999999
72,Proposed DRL,7-4-1,balanced_700,2,13.43515873015873,30.37829365079365,8.714009433962264,33.16929245283019,28.337896825396825,51,121.97
73,Proposed DRL,7-4-1,balanced_700,3,15.213650793650793,30.1618253968254,13.362155963302751,72.66711009174314,25.694960317460314,51,104.47
74,Proposed DRL,7-4-1,balanced_700,4,14.710555555555555,29.23857142857143,8.858805970149254,36.979253731343285,24.722142857142856,49,93.67
75,Proposed DRL,7-4-1,balanced_700,5,22.730476190476192,43.45492063492064,17.288571428571426,46.73510822510823,20.916031746031745,51,83.03999999999999
76,Proposed DRL,7-4-1,balanced_700,6,9.479007936507937,18.969126984126984,6.281160714285714,26.940937499999997,30.796746031746036,51,119.97
77,Proposed DRL,7-4-1,balanced_700,7,13.852222222222219,30.191269841269836,10.363888888888889,42.501666666666665,26.997698412698412,49,111.30000000000001
78,Macro-State DRL,7-4-1,balanced_700,1,26.962142857142858,48.25380952380953,20.937239819004525,57.773936651583725,19.042579365079362,50,79.32
79,Macro-State DRL,7-4-1,balanced_700,2,27.898373015873016,52.6468253968254,18.549411764705884,60.35945701357467,21.906388888888888,49,97.33
80,Macro-State DRL,7-4-1,balanced_700,3,14.358253968253969,25.85309523809524,14.663396226415093,77.5832075471698,25.502857142857142,47,100.49
81,Macro-State DRL,7-4-1,balanced_700,4,14.579960317460317,26.099880952380953,10.372038834951457,37.3954854368932,24.53468253968254,51,93.69
82,Macro-State DRL,7-4-1,balanced_700,5,22.5897619047619,38.787222222222226,18.044778761061945,49.591371681415936,19.810714285714287,50,77.6
83,Macro-State DRL,7-4-1,balanced_700,6,10.419285714285714,20.31059523809524,7.286666666666666,28.362735042735043,29.24373015873016,51,111.38999999999999
84,Macro-State DRL,7-4-1,balanced_700,7,14.369404761904763,29.446984126984123,11.504806629834254,58.783314917127065,25.748571428571427,47,109.02
85,SCOOT,7-4-1,balanced_800,1,83.92868525896414,143.87346613545816,49.00941704035874,95.30605381165918,12.048525896414343,32,
86,SCOOT,7-4-1,balanced_800,2,51.108764940239055,91.63800796812748,26.491214953271033,72.03051401869158,17.343027888446215,30,
87,SCOOT,7-4-1,balanced_800,3,48.349800796812744,99.40836653386454,26.55267326732673,68.7361881188119,16.653227091633465,33,
88,SCOOT,7-4-1,balanced_800,4,49.8788844621514,89.64804780876493,28.130377358490563,63.197971698113186,15.319282868525896,34,
89,SCOOT,7-4-1,balanced_800,5,68.77262948207171,127.28617529880479,37.315859030837,73.40806167400882,13.412231075697212,34,
90,SCOOT,7-4-1,balanced_800,6,32.7112749003984,57.355816733067726,17.39256637168142,44.29017699115044,20.226892430278884,38,
91,SCOOT,7-4-1,balanced_800,7,53.74884462151394,96.14430278884461,19.58345744680851,47.66329787234042,16.82406374501992,37,
92,Proposed DRL,7-4-1,balanced_800,1,34.16043650793651,64.80313492063492,24.5979295154185,67.30070484581499,18.210555555555555,46,77.44
93,Proposed DRL,7-4-1,balanced_800,2,21.289920634920634,41.50880952380952,13.19502512562814,47.082964824120616,24.279603174603174,49,104.91999999999999
94,Proposed DRL,7-4-1,balanced_800,3,25.519246031746032,54.77075396825396,13.084247311827957,50.02198924731182,22.490476190476187,46,94.69999999999999
